"","fips","date","comav2","prate","dmav2","drate","total_population","cocases","codeaths"
"1",36061,2020-03-01,NA,NA,NA,NA,8398748,1,0
"2",36061,2020-03-02,NA,NA,NA,NA,8398748,1,0
"3",36061,2020-03-03,0.5,0.00595326827284257,0,0,8398748,2,0
"4",36061,2020-03-04,0.5,0.00595326827284257,0,0,8398748,2,0
"5",36061,2020-03-05,1,0.0119065365456851,0,0,8398748,4,0
"6",36061,2020-03-06,1.5,0.0178598048185277,0,0,8398748,5,0
"7",36061,2020-03-07,4,0.0476261461827406,0,0,8398748,12,0
"8",36061,2020-03-08,4.5,0.0535794144555831,0,0,8398748,14,0
"9",36061,2020-03-09,4,0.0476261461827406,0,0,8398748,20,0
"10",36061,2020-03-10,11.5,0.136925170275379,0,0,8398748,37,0
"11",36061,2020-03-11,16,0.190504584730962,0,0,8398748,52,0
"12",36061,2020-03-12,29.5,0.351242828097712,0,0,8398748,96,0
"13",36061,2020-03-13,51.5,0.613186632102785,0,0,8398748,155,0
"14",36061,2020-03-14,86.5,1.02991541120176,0.5,0.00595326827284257,8398748,269,1
"15",36061,2020-03-15,87.5,1.04182194774745,2.5,0.0297663413642129,8398748,330,5
"16",36061,2020-03-16,97.5,1.1608873132043,3,0.0357196096370554,8398748,464,7
"17",36061,2020-03-17,157.5,1.87527950594541,2.5,0.0297663413642129,8398748,645,10
"18",36061,2020-03-18,437.5,5.20910973873725,6.5,0.0773924875469534,8398748,1339,20
"19",36061,2020-03-19,911.5,10.852808061392,6,0.0714392192741109,8398748,2468,22
"20",36061,2020-03-20,1534.5,18.2705803293539,11.5,0.136925170275379,8398748,4408,43
"21",36061,2020-03-21,1871.5,22.2830831452497,19,0.226224194368018,8398748,6211,60
"22",36061,2020-03-22,2318.5,27.605304981171,28,0.333383023279184,8398748,9045,99
"23",36061,2020-03-23,3047,36.2792168547026,35.5,0.422682047371823,8398748,12305,131
"24",36061,2020-03-24,2930,34.8861520788575,46.5,0.553653949374359,8398748,14905,192
"25",36061,2020-03-25,3853,45.8758853105249,74.5,0.887036972653543,8398748,20011,280
"26",36061,2020-03-26,4103.5,48.858472715219,86.5,1.02991541120176,8398748,23112,365
"27",36061,2020-03-27,2694,32.0762094540758,85,1.01205560638324,8398748,25399,450
"28",36061,2020-03-28,3827,45.566315360337,153.5,1.82765335976267,8398748,30766,672
"29",36061,2020-03-29,4184.5,49.8229021754195,163,1.94076545694668,8398748,33768,776
"30",36061,2020-03-30,3660.5,43.5838770254805,121,1.4406909220279,8398748,38087,914
"31",36061,2020-03-31,4685.5,55.7880769848077,160,1.90504584730962,8398748,43139,1096
"32",36061,2020-04-01,4676.5,55.6809181558966,230,2.73850340550758,8398748,47440,1374
"33",36061,2020-04-02,4335.5,51.6207891938179,233,2.77422301514464,8398748,51810,1562
"34",36061,2020-04-03,4860,57.8657676120298,246.5,2.93496125851139,8398748,57160,1867
"35",36061,2020-04-04,5748.5,68.444725332871,346,4.11966164480706,8398748,63307,2254
"36",36061,2020-04-05,5196,61.86636389138,302.5,3.60172730506976,8398748,67552,2472
"37",36061,2020-04-06,4437,52.829302653205,615.5,7.3284732438692,8398748,72181,3485
"38",36061,2020-04-07,4662,55.5082733759841,768.5,9.15017333535903,8398748,76876,4009
"39",36061,2020-04-08,4811,57.2823473212912,543,6.46524934430703,8398748,81803,4571
"40",36061,2020-04-09,5076,60.4375795058978,570.5,6.79267909931337,8398748,87028,5150
"41",36061,2020-04-10,5290.5,62.9915315949472,546,6.50096895394409,8398748,92384,5663
"42",36061,2020-04-11,5640,67.1528661176642,526,6.26283822303038,8398748,98308,6202
"43",36061,2020-04-12,5412,64.438175785248,527,6.27474475957607,8398748,103208,6717
"44",36061,2020-04-13,4228,50.3408365151568,476,5.66751139574613,8398748,106764,7154
"45",36061,2020-04-14,3628.5,43.2028678560185,486.5,5.79253002947582,8398748,110465,7690
"46",36061,2020-04-15,5769,68.6888093320576,530.5,6.31641763748597,8398748,118302,8215
"47",36061,2020-04-16,6340.5,75.4933949679166,471,5.6079787130177,8398748,123146,8632
"48",36061,2020-04-17,4525,53.8770778692253,208.5,2.48251286977535,8398748,127352,8632
"49",36061,2020-04-18,4063.5,48.3822112533916,0,0,8398748,131273,8632
"50",36061,2020-04-19,3547,42.2324851275452,538,6.40571666157861,8398748,134446,9708
"51",36061,2020-04-20,2771.5,32.9989660363664,688.5,8.19765041170422,8398748,136816,10009
"52",36061,2020-04-21,2444.5,29.1055285859273,296.5,3.53028808579564,8398748,139335,10301
"53",36061,2020-04-22,2813,33.4930873030123,302.5,3.60172730506976,8398748,142442,10614
"54",36061,2020-04-23,3260,38.8153091389336,294,3.50052174443143,8398748,145855,10889
"55",36061,2020-04-24,4021,47.8761834502,271.5,3.23262467215352,8398748,150484,11157
"56",36061,2020-04-25,4634.5,55.1808436209778,265,3.15523218460656,8398748,155124,11419
"57",36061,2020-04-26,3892,46.3402402358066,245.5,2.9230547219657,8398748,158268,11648
"58",36061,2020-04-27,2687.5,31.9988169665288,219,2.60753150350505,8398748,160499,11857
"59",36061,2020-04-28,2040,24.2893345531977,209.5,2.49441940632104,8398748,162348,12067
"60",36061,2020-04-29,2176.5,25.9145767916837,234,2.78612955169032,8398748,164852,12325
"61",36061,2020-04-30,2570.5,30.6057521906837,223.5,2.66111091796063,8398748,167489,12514
"62",36061,2020-05-01,2424.5,28.8673978550136,187.5,2.23247560231596,8398748,169701,12700
"63",36061,2020-05-02,2437.5,29.0221828301075,190.5,2.26819521195302,8398748,172364,12895
"64",36061,2020-05-03,2320,27.6231647859895,182,2.1669896513147,8398748,174341,13064
